word,phonetic,definition_zh,definition_en,example,tags,audio_file
agree,[əˈgriː],vi.同意；持相同意见,,,sholvoir;cet4;exam;core,
agreement,[əˈgriːmənt],n.协定，协议；同意,,,sholvoir;cet4;exam;core,
agriculture,[ˈægrikʌlt∫ə],n.农业，农艺；农学,,,sholvoir;cet4;exam;core,
ahead,[əˈhed],ad.在前；向前；提前,,,sholvoir;cet4;exam;core,
aid,[eid],n.帮助，救护；助手,,,sholvoir;cet4;exam;core,
aim,[eim],vi.瞄准，针对；致力,,,sholvoir;cet4;exam;core,
air,[eə],n.空气；空中；外观,,,sholvoir;cet4;exam;core,
aircraft,[ˈeəkrɑːft],n.飞机，飞行器,,,sholvoir;cet4;exam;core,
airline,[ˈeəlain],n.航空公司；航线,,,sholvoir;cet4;exam;core,
airplane,[ˈeəˌplein],n.飞机,,,sholvoir;cet4;exam;core,
airport,[ˈeəpɔːt],n.机场，航空站,,,sholvoir;cet4;exam;core,
alarm,[əˈlɑːm],n.惊恐，忧虑；警报,,,sholvoir;cet4;exam;core,
alcohol,[ˈælkəhɔl],n.酒精，乙醇,,,sholvoir;cet4;exam;core,
alike,[əˈlaik],a.同样的，相同的,,,sholvoir;cet4;exam;core,
alive,[əˈlaiv],a.活着的；活跃的,,,sholvoir;cet4;exam;core,
all,[ɔːl],a.全部的 prep.全部,,,sholvoir;cet4;exam;core,
allow,[əˈlau],vt.允许，准许；任,,,sholvoir;cet4;exam;core,
alloy,[ˈælɔi],n.合金；(金属的)成色,,,sholvoir;cet4;exam;core,
almost,[ˈɔːlməust],ad.几乎，差不多,,,sholvoir;cet4;exam;core,
alone,[əˈləun],a.单独的 ad.单独地,,,sholvoir;cet4;exam;core,
along,[əˈlɔŋ],prep.沿着 ad.向前,,,sholvoir;cet4;exam;core,
aloud,[əˈlaud],ad.出声地，大声地,,,sholvoir;cet4;exam;core,
alphabet,[ˈælfəbit],n.字母表，字母系统,,,sholvoir;cet4;exam;core,
already,[ɔːlˈredi],ad.早已，已经,,,sholvoir;cet4;exam;core,
also,[ˈɔːlsəu],ad.亦，也；而且，还,,,sholvoir;cet4;exam;core,
alter,[ˈɔːltə],vt.改变，变更；改做,,,sholvoir;cet4;exam;core,
alternative,[ɔːlˈtəːnətiv],n.替换物；取舍，抉择,,,sholvoir;cet4;exam;core,
although,[ɔːlˈðəu],conj.尽管，虽然,,,sholvoir;cet4;exam;core,
altitude,[ˈæltitjuːd],n.高，高度；高处,,,sholvoir;cet4;exam;core,
altogether,[ˌɔːltəˈgeðə],ad.完全；总而言之,,,sholvoir;cet4;exam;core,
aluminium,[ˌæljuːˈminjəm],n.铝,,,sholvoir;cet4;exam;core,
always,[ˈɔːlweiz],ad.总是，一直；永远,,,sholvoir;cet4;exam;core,
amaze,[əˈmeiz],vt.使惊奇，使惊愕,,,sholvoir;cet4;exam;core,
ambition,[æmˈbi∫ən],n.雄心，抱负，野心,,,sholvoir;cet4;exam;core,
ambulance,[ˈæmbjuləns],n.救护车；野战医院,,,sholvoir;cet4;exam;core,
america,[əˈmerikə],n.美洲；美国,,,sholvoir;cet4;exam;core,
american,[əˈmerikən],a.美洲的 n.美国人,,,sholvoir;cet4;exam;core,
among,[əˈmʌŋ],prep.在…之中,,,sholvoir;cet4;exam;core,
amongst,[əˈmʌŋst],prep 在…之中(=among),,,sholvoir;cet4;exam;core,
amount,[əˈmaunt],n.总数；数量；和,,,sholvoir;cet4;exam;core,
ampere,[ˈæmpiər],n.安培,,,sholvoir;cet4;exam;core,
amplify,[ˈæmplifai],vt.放大，增强；扩大,,,sholvoir;cet4;exam;core,
amuse,[əˈmjuːz],vt.逗…乐；给…娱乐,,,sholvoir;cet4;exam;core,
analyse,[ˈænəlaiz],vt.分析，分解，解析,,,sholvoir;cet4;exam;core,
analysis,[əˈnælisis],n.分析，分解，解析,,,sholvoir;cet4;exam;core,
ancestor,[ˈænsistə],n.祖宗，祖先,,,sholvoir;cet4;exam;core,
anchor,[ˈæŋkə],n.锚 vi.抛锚，停泊,,,sholvoir;cet4;exam;core,
ancient,[ˈein∫ənt],a.古代的，古老的,,,sholvoir;cet4;exam;core,
and,[ænd],conj.和，又，并，则,,,sholvoir;cet4;exam;core,
angel,[ˈeindʒəl],n.天使，神差，安琪儿,,,sholvoir;cet4;exam;core,
anger,[ˈæŋgə],n.怒，愤怒 vt.使发怒,,,sholvoir;cet4;exam;core,
angle,[ˈæŋgl],n.角，角度,,,sholvoir;cet4;exam;core,
angry,[ˈæŋgri],a.愤怒的，生气的,,,sholvoir;cet4;exam;core,
animal,[ˈæniməl],n.动物，兽 a.动物的,,,sholvoir;cet4;exam;core,
ankle,[ˈæŋkl],n.踝，踝节部,,,sholvoir;cet4;exam;core,
announce,[əˈnauns],vt.宣布，宣告，发表,,,sholvoir;cet4;exam;core,
announcer,[əˈnaunsə],n.宣告者；播音员,,,sholvoir;cet4;exam;core,
annoy,[əˈnɔi],vt.使恼怒；打搅,,,sholvoir;cet4;exam;core,
annual,[ˈænjuəl],a.每年的 n.年报,,,sholvoir;cet4;exam;core,
another,[əˈnʌðə],a.再一个的；别的,,,sholvoir;cet4;exam;core,
answer,[ˈɑːnsə],vt.回答；响应；适应,,,sholvoir;cet4;exam;core,
ant,[ænt],n.蚂蚁,,,sholvoir;cet4;exam;core,
anticipate,[ænˈtisipeit],vt.预料，预期，期望,,,sholvoir;cet4;exam;core,
anxiety,[æŋˈzaiəti],n.焦虑，忧虑；渴望,,,sholvoir;cet4;exam;core,
anxious,[ˈæŋk∫əs],a.忧虑的；渴望的,,,sholvoir;cet4;exam;core,
any,[ˈeni],a.什么，一些；任何的,,,sholvoir;cet4;exam;core,
anybody,[ˈeniˌbɔdi],prep.任何人,,,sholvoir;cet4;exam;core,
anyhow,[ˈenihau],ad.无论如何,,,sholvoir;cet4;exam;core,
anyone,[ˈeniwʌn],pron.任何人,,,sholvoir;cet4;exam;core,
anything,[ˈeniθiŋ],pron.任何事物；一切,,,sholvoir;cet4;exam;core,
anyway,[ˈeniwei],ad.无论如何,,,sholvoir;cet4;exam;core,
anywhere,[ˈeniweə],ad.在什么地方,,,sholvoir;cet4;exam;core,
apart,[əˈpɑːt],ad.相隔；分开；除去,,,sholvoir;cet4;exam;core,
apartment,[əˈpɑːtmənt],n.一套公寓房间,,,sholvoir;cet4;exam;core,
apologize,[əˈpɔlədʒaiz],vi.道歉，谢罪，认错,,,sholvoir;cet4;exam;core,
apology,[əˈpɔlədʒi],n.道歉，认错，谢罪,,,sholvoir;cet4;exam;core,
apparatus,[ˌæpəˈreitəs],n.器械，仪器；器官,,,sholvoir;cet4;exam;core,
apparent,[əˈpærənt],a.表面上的；明显的,,,sholvoir;cet4;exam;core,
appeal,[əˈpiːl],vi.&n.呼吁；申述,,,sholvoir;cet4;exam;core,
appear,[əˈpiə],vi.出现；来到；似乎,,,sholvoir;cet4;exam;core,
appearance,[əˈpiərəns],n.出现，来到；外观,,,sholvoir;cet4;exam;core,
appetite,[ˈæpitait],n.食欲，胃口；欲望,,,sholvoir;cet4;exam;core,
apple,[ˈæpl],n.苹果，苹果树,,,sholvoir;cet4;exam;core,
appliance,[əˈplaiəns],n.用具，器具，器械,,,sholvoir;cet4;exam;core,
applicable,[ˈæplikəbl],a.能应用的；适当的,,,sholvoir;cet4;exam;core,
application,[ˌæpliˈkei∫ən],n.请求，申请；施用,,,sholvoir;cet4;exam;core,
apply,[əˈplai],vt.应用，实施，使用,,,sholvoir;cet4;exam;core,
appoint,[əˈpɔint],vt.任命，委任；约定,,,sholvoir;cet4;exam;core,
appointment,[əˈpɔintmənt],"n.任命;约定,约会",,,sholvoir;cet4;exam;core,
appreciate,[əˈpriː∫ieit],vt.欣赏；领会；感谢,,,sholvoir;cet4;exam;core,
approach,[əˈprəut∫],vt.向…靠近 n.靠近,,,sholvoir;cet4;exam;core,
appropriate,[əˈprəupriit],a.适当的，恰当的,,,sholvoir;cet4;exam;core,
approval,[əˈpruːvəl],n.赞成，同意；批准,,,sholvoir;cet4;exam;core,
approve,[əˈpruːv],vt.赞成，称许；批准,,,sholvoir;cet4;exam;core,
approximate,[əˈprɔksimeit],a.近似的 vt.近似,,,sholvoir;cet4;exam;core,
approximately,[əprɔksiˈmətli],ad.近似地，大约,,,sholvoir;cet4;exam;core,
april,[ˈeiprəl],n.四月,,,sholvoir;cet4;exam;core,
arabian,[əˈreibjən],a.阿拉伯的,,,sholvoir;cet4;exam;core,
arbitrary,[ˈɑːbitrəri],a.随心所欲的；专断的,,,sholvoir;cet4;exam;core,
architecture,[ˈɑːkitekt∫ə],n.建筑学；建筑式样,,,sholvoir;cet4;exam;core,
area,[ˈeəriə],n.面积；地区；领域,,,sholvoir;cet4;exam;core,
argue,[ˈɑːgjuː],vi.争论，争辩，辩论,,,sholvoir;cet4;exam;core,
argument,[ˈɑːgjumənt],n.争论，辩论；理由,,,sholvoir;cet4;exam;core,
arise,[əˈraiz],vi.出现；由…引起,,,sholvoir;cet4;exam;core,
arithmetic,[əˈriθmətik],n.算术，四则运算,,,sholvoir;cet4;exam;core,
arm,[ɑːm],n.臂；臂状物；武器,,,sholvoir;cet4;exam;core,
army,[ˈɑːmi],n.军队；陆军,,,sholvoir;cet4;exam;core,
around,[əˈraund],prep.在…周围,,,sholvoir;cet4;exam;core,
arouse,[əˈrauz],vt.引起，唤起；唤醒,,,sholvoir;cet4;exam;core,
arrange,[əˈreindʒ],vt.筹备；整理；调解,,,sholvoir;cet4;exam;core,
arrangement,[əˈreindʒmənt],"n.整理,排列;安排",,,sholvoir;cet4;exam;core,
arrest,[əˈrest],vt.逮捕，拘留；阻止,,,sholvoir;cet4;exam;core,
arrival,[əˈraivəl],n.到达；到来；到达者,,,sholvoir;cet4;exam;core,
arrive,[əˈraiv],vi.到达；来临；达到,,,sholvoir;cet4;exam;core,
arrow,[ˈærəu],n.箭；箭状物,,,sholvoir;cet4;exam;core,
art,[ɑːt],n.艺术，美术；技术,,,sholvoir;cet4;exam;core,
article,[ˈɑːtikl],n.文章；条款；物品,,,sholvoir;cet4;exam;core,
artificial,[ˌɑːtiˈfi∫əl],a.人工的；娇揉造作的,,,sholvoir;cet4;exam;core,
artist,[ˈɑːtist],n.艺术家，美术家,,,sholvoir;cet4;exam;core,
artistic,[ɑːˈtistik],a.艺术的；艺术家的,,,sholvoir;cet4;exam;core,
as,[æz],conj.当…的时候,,,sholvoir;cet4;exam;core,
ash,[æ∫],n.灰，灰末；骨灰,,,sholvoir;cet4;exam;core,
ashamed,[əˈ∫eimd],a.惭愧(的)；羞耻(的),,,sholvoir;cet4;exam;core,
asia,[ˈei∫ə],n.亚洲,,,sholvoir;cet4;exam;core,
asian,[ˈei∫ən],a.亚洲的 n.亚洲人,,,sholvoir;cet4;exam;core,
aside,[əˈsaid],ad.在旁边，到旁边,,,sholvoir;cet4;exam;core,
ask,[ɑːsk],vt.问；要求；邀请,,,sholvoir;cet4;exam;core,
asleep,[əˈsliːp],a.睡着的，睡熟的,,,sholvoir;cet4;exam;core,
aspect,[ˈæspekt],n.方面；样子，外表,,,sholvoir;cet4;exam;core,
assemble,[əˈsembl],vt.集合，召集；装配,,,sholvoir;cet4;exam;core,
assembly,[əˈsembli],n.集合；集会；装配,,,sholvoir;cet4;exam;core,
assess,[əˈses],vt.对(财产等)估价,,,sholvoir;cet4;exam;core,
assign,[əˈsain],vt.指派；分配；指定,,,sholvoir;cet4;exam;core,
assignment,[əˈsainmənt],n.任务，指定的作业,,,sholvoir;cet4;exam;core,
assist,[əˈsist],vt.援助，帮助；搀扶,,,sholvoir;cet4;exam;core,
assistant,[əˈsistənt],n.助手，助理；助教,,,sholvoir;cet4;exam;core,
associate,[əˈsəu∫ieit],vi.交往 n.伙伴，同事,,,sholvoir;cet4;exam;core,
association,[əˌsəusiˈei∫ən],"n.协会,团体；联合",,,sholvoir;cet4;exam;core,
assume,[əˈsjuːm],vt.假定；承担；呈现,,,sholvoir;cet4;exam;core,
assure,[əˈ∫uə],vt.使确信；向…保证,,,sholvoir;cet4;exam;core,
astonish,[əsˈtɔni∫],vt.使惊讶，使吃惊,,,sholvoir;cet4;exam;core,
astronaut,[ˈæstrənɔːt],n.宇宙航行员，宇航员,,,sholvoir;cet4;exam;core,
at,[æt],prep.在…里；在…时,,,sholvoir;cet4;exam;core,
athlete,[ˈæθliːt],n.运动员；田径运动员,,,sholvoir;cet4;exam;core,
atlantic,[ətˈlæntik],a.大西洋的 n.大西洋,,,sholvoir;cet4;exam;core,
atmosphere,[ˈætməsfiə],n.大气；空气；气氛,,,sholvoir;cet4;exam;core,
atmospheric,[ˌætməsˈferik],a.大气的;大气层的,,,sholvoir;cet4;exam;core,
atom,[ˈætəm],n.原子；微粒；微量,,,sholvoir;cet4;exam;core,
atomic,[əˈtɔmik],a.原子的；原子能的,,,sholvoir;cet4;exam;core,
attach,[əˈtæt∫],vt.缚，系，贴；附加,,,sholvoir;cet4;exam;core,
attack,[əˈtæk],vt.&vi.&n.攻击，进攻,,,sholvoir;cet4;exam;core,
attain,[əˈtein],vt.达到，获得，完成,,,sholvoir;cet4;exam;core,
attempt,[əˈtempt],vt.尝试，试图 n.企图,,,sholvoir;cet4;exam;core,
attend,[əˈtend],vt.出席；照顾，护理,,,sholvoir;cet4;exam;core,
attention,[əˈten∫ən],n.注意，留心；注意力,,,sholvoir;cet4;exam;core,
attentive,[əˈtentiv],a.注意的；有礼貌的,,,sholvoir;cet4;exam;core,
attitude,[ˈætitjuːd],n.态度，看法；姿势,,,sholvoir;cet4;exam;core,
attract,[əˈtrækt],vt.吸引；引起，诱惑,,,sholvoir;cet4;exam;core,
attraction,[əˈtræk∫ən],n.吸引；吸引力；引力,,,sholvoir;cet4;exam;core,
attractive,[əˈtræktiv],a.有吸引力的,,,sholvoir;cet4;exam;core,
attribute,[əˈtribju(ː)t],vt.把…归因于 n.属性,,,sholvoir;cet4;exam;core,
audience,[ˈɔːdjəns],n.听众，观众，读者,,,sholvoir;cet4;exam;core,
august,[ˈɔːgəst],n.八月,,,sholvoir;cet4;exam;core,
aunt,[ɑːnt],n.伯母，婶母，姑母,,,sholvoir;cet4;exam;core,
aural,[ˈɔːrəl],a.耳的，听觉的,,,sholvoir;cet4;exam;core,
australia,[ɔsˈtreiljə],n.澳大利亚,,,sholvoir;cet4;exam;core,
australian,[ɔsˈtreiliən],a.澳大利亚的,,,sholvoir;cet4;exam;core,
author,[ˈɔːθə],n.作者，作家,,,sholvoir;cet4;exam;core,
authority,[ɔːˈθɔriti],n.当局，官方；权力,,,sholvoir;cet4;exam;core,
auto,[ˈɔːtəu],n.(口语)汽车,,,sholvoir;cet4;exam;core,
automatic,[ˌɔːtəˈmætik],a.自动的；机械的,,,sholvoir;cet4;exam;core,
automation,[ɔːtəˈmei∫ən],n.自动，自动化,,,sholvoir;cet4;exam;core,
automobile,[ˌɔːtəˈməubil],n.汽车，机动车,,,sholvoir;cet4;exam;core,
autumn,[ˈɔːtəm],n.秋，秋季,,,sholvoir;cet4;exam;core,
auxiliary,[ɔːgˈziljəri],a.辅助的；附属的,,,sholvoir;cet4;exam;core,
available,[əˈveiləbl],a.可利用的；通用的,,,sholvoir;cet4;exam;core,
avenue,[ˈævinjuː],n.林荫道，道路；大街,,,sholvoir;cet4;exam;core,
average,[ˈævəridʒ],n.平均数 a.平均的,,,sholvoir;cet4;exam;core,
aviation,[ˌeiviˈei∫ən],n.航空，航空学,,,sholvoir;cet4;exam;core,
avoid,[əˈvɔid],vt.避免，躲开；撤消,,,sholvoir;cet4;exam;core,
await,[əˈweit],vt.等候，期待,,,sholvoir;cet4;exam;core,
awake,[əˈweik],a.醒着的 vt.唤醒,,,sholvoir;cet4;exam;core,
award,[əˈwɔːd],n.奖，奖品；判定,,,sholvoir;cet4;exam;core,
aware,[əˈweə],a.知道的，意识到的,,,sholvoir;cet4;exam;core,
away,[əˈwei],ad.离开，远离；…去,,,sholvoir;cet4;exam;core,
awful,[ˈɔːful],a.令人不愉快的,,,sholvoir;cet4;exam;core,
awfully,[ˈɔːfuli],ad.令人畏惧的；很,,,sholvoir;cet4;exam;core,
awkward,[ˈɔːkwəd],a.笨拙的；尴尬的,,,sholvoir;cet4;exam;core,
ax,[æks],n.斧子,,,sholvoir;cet4;exam;core,
axis,[ˈæksis],n.轴，轴线；中心线,,,sholvoir;cet4;exam;core,
b,,.C. (缩)公元前,,,sholvoir;cet4;exam;core,
baby,[ˈbeibi],n.婴儿；孩子气的人,,,sholvoir;cet4;exam;core,
back,[bæk],ad.在后；回原处；回,,,sholvoir;cet4;exam;core,
background,[ˈbækgraund],n.背景，后景，经历,,,sholvoir;cet4;exam;core,
backward,[ˈbækwəd],a.向后的；倒的 ad.倒,,,sholvoir;cet4;exam;core,
bacteria,[bækˈtiəriə],n.细菌,,,sholvoir;cet4;exam;core,
bad,[bæd],a.坏的，恶的；严重的,,,sholvoir;cet4;exam;core,
badly,[ˈbædli],ad.坏，差；严重地,,,sholvoir;cet4;exam;core,
badminton,[ˈbædmintən],n.羽毛球,,,sholvoir;cet4;exam;core,
bag,[bæg],n.袋，包，钱包，背包,,,sholvoir;cet4;exam;core,
baggage,[ˈbægidʒ],n.行李,,,sholvoir;cet4;exam;core,
bake,[beik],vt.烤，烘，焙；烧硬,,,sholvoir;cet4;exam;core,
balance,[ˈbæləns],vt.使平衡；称 n.天平,,,sholvoir;cet4;exam;core,
ball,[bɔːl],n.球，球状物；舞会,,,sholvoir;cet4;exam;core,
balloon,[bəˈluːn],n.气球，玩具气球,,,sholvoir;cet4;exam;core,
banana,[bəˈnɑːnə],n.香蕉；芭蕉属植物,,,sholvoir;cet4;exam;core,
band,[bænd],n.乐队；带；波段,,,sholvoir;cet4;exam;core,
bang,[bæŋ],n.巨响，枪声；猛击,,,sholvoir;cet4;exam;core,
bank,[bæŋk],n.银行；库；岩，堤,,,sholvoir;cet4;exam;core,
banner,[ˈbænə],n.旗，旗帜，横幅,,,sholvoir;cet4;exam;core,
bar,[bɑː(r)],n.酒吧间；条，杆；栅,,,sholvoir;cet4;exam;core,
barber,[ˈbɑːbə],n.理发师,,,sholvoir;cet4;exam;core,
bare,[beə],a.赤裸的；仅仅的,,,sholvoir;cet4;exam;core,
bargain,[ˈbɑːgin],n.交易 vi.议价；成交,,,sholvoir;cet4;exam;core,
bark,[bɑːk],n.吠叫声 vi.吠，叫,,,sholvoir;cet4;exam;core,
barn,[bɑːn],n.谷仓；牲口棚,,,sholvoir;cet4;exam;core,
barrel,[ˈbærəl],n.桶；圆筒；枪管,,,sholvoir;cet4;exam;core,
barrier,[ˈbæriə],n.栅栏，屏障；障碍,,,sholvoir;cet4;exam;core,
base,[beis],n.基础，底层；基地,,,sholvoir;cet4;exam;core,
basic,[ˈbeisik],a.基本的，基础的,,,sholvoir;cet4;exam;core,
