word,phonetic,definition_zh,definition_en,example,tags,audio_file
airplane,/ˈɛəɹˌpleɪ̯n/,,A powered heavier-than-air aircraft with fixed wings.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/airplane.mp3
airport,/ˈɛɹ.pɔɹt/,,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.","Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas. ― The Independent, Heathrow expansion to mainly benefit wealthy frequent fliers, research finds, 23 june 2018.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/airport.mp3
airy,/ˈɛəɹ.i/,,Consisting of air.,an airy substance; the airy parts of bodies,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/airy.mp3
alarm,/əˈlɑɹm/,,"A summons to arms, as on the approach of an enemy.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alarm.mp3
alike,/əˈlaɪk/,,Having resemblance or similitude; similar; without difference.,The twins were alike.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alike.mp3
alive,/əˈlaɪv/,,Having life; living; not dead,"As long as the plant is alive, he will continue to water it.",basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alive.mp3
all,/ɔl/,,(with a possessive pronoun) Everything that one is capable of.,"She gave her all, and collapsed at the finish line.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/all.mp3
alley,/ˈæ.li/,,"A narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings.",The parking lot to my friend's apartment building is in the alley.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alley.mp3
alligator,/ˈæl.ɪ.ɡeɪ.tɚ/,,"Either of two species of large amphibious reptile, Alligator mississippiensis or Alligator sinensis, in the genus Alligator within order Crocodilia, which have sharp teeth and very strong jaws and are native to the Americas and China, respectively.","All you could see of the alligator were its two eyes above the water, and suddenly it snatched up and caught the poor bird with its strong jaws full of sharp teeth.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alligator.mp3
allow,/əˈlaʊ/,,"To grant, give, admit, accord, afford, or yield; to let one have.",to allow a servant his liberty; to allow a free passage; to allow one day for rest,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/allow.mp3
almost,/ˈɑl.moʊst/,,Something or someone that doesn't quite make it.,"In all the submissions, they found four papers that were clearly worth publishing and another dozen almosts.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/almost.mp3
alone,/əˈloʊn/,,"By oneself, solitary.",I can't ask for help because I am alone.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/alone.mp3
along,/əˈlɔŋ/,,In company; together.,John played the piano and everyone sang along.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/along.mp3
aloud,/əˈlaʊd/,,Spoken out loud.,,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aloud.mp3
already,/ɔlˈɹɛdi/,,"Prior to some specified time, either past, present, or future; by this time; previously.",,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/already.mp3
also,/ˈɔl.soʊ/,,(focus) In addition; besides; as well; further; too.,"They had porridge for breakfast, and also toast.",basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/also.mp3
always,/ˈɔl.weɪz/,,At all times; throughout all time; since the beginning.,Airplanes did not always exist as a form of transportation.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/always.mp3
am,[ɛ̃ə̃ːm],,Before noon.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/am.mp3
among,/əˈmɒŋ/,,Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst.),How can you speak with authority about their customs when you have never lived among them?,basic;dale-chall;pos:preposition,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/among.mp3
amount,/əˈmaʊnt/,,"The total, aggregate or sum of material (not applicable to discrete numbers or units or items in standard English).",The amount of atmospheric pollution threatens a health crisis.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/amount.mp3
an,/æn/,,One,,basic;dale-chall;pos:numeral,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/an.mp3
and,,,"In rhythm, the second half of a divided beat.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/and.mp3
angel,/ˈeɪn.dʒəl/,,"An incorporeal and sometimes divine messenger from a deity, or other divine entity, often depicted in art as a youthful winged figure in flowing robes.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/angel.mp3
anger,/ˈæŋɡɚ/,,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm.",You need to control your anger.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anger.mp3
angry,/ˈæŋ.ɡɹi/,,Displaying or feeling anger.,An angry mob started looting the warehouse.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/angry.mp3
animal,/ˈænɪməl/,,"In scientific usage, a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants).","A cat is an animal, not a plant. Humans are also animals, under the scientific definition, as we are not plants.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/animal.mp3
another,/æˈnʌð.ə(ɹ)/,,An additional one of the same kind.,There is one sterling and here is another,basic;dale-chall;pos:pronoun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/another.mp3
answer,/ˈæn.sɚ/,,A response or reply; something said or done in reaction to a statement or question.,Her answer to his proposal was a slap in the face.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/answer.mp3
ant,/ænt/,,"Any of various insects in the family Formicidae in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ant.mp3
any,/ˈɛni/,,"To even the slightest extent, at all.",I will not remain here any longer.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/any.mp3
anybody,/ˈɛn.i.bɑd.i/,,Any one out of an indefinite number of persons; anyone; any person.,Anybody will do.,basic;dale-chall;pos:pronoun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anybody.mp3
anyhow,/ˈæn.i.haʊ/,,(manner) In any way or manner whatever.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anyhow.mp3
anyone,/ˈæniˌwʌn/,,Any person; anybody.,Almost anyone can change a light bulb.,basic;dale-chall;pos:pronoun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anyone.mp3
anything,/ˈɛn.i.θɪŋ/,,Someone or something of importance.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anything.mp3
anyway,/ˈɛniweɪ/,,Regardless; anyhow.,"He didn't enjoy washing his car, but it was so dirty that he did it anyway.",basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anyway.mp3
anywhere,/ˈɛn.i.(h)wɛɹ/,,In or at any location or an unknown location.,I don't know where I left my keys. They could be anywhere.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/anywhere.mp3
apart,/əˈpɑɹt/,,"(Used after a noun or in the predicate) Exceptional, distinct.",a world apart,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/apart.mp3
apartment,/əˈpɑɹt.mənt/,,"A complete domicile occupying only part of a building, especially one for rent; a flat.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/apartment.mp3
ape,/eɪp/,,"A primate of the clade Hominoidea, generally larger than monkeys and distinguished from them by having no tail.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ape.mp3
apiece,/əˈpis/,,Each by itself; for or to each one,These melons cost a dollar apiece.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/apiece.mp3
appear,/əˈpiɹ/,,To come or be in sight; to be in view; to become visible.,,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/appear.mp3
apple,/ˈæp.əl/,,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/apple.mp3
apron,/ˈeɪ.pɹən/,,An article of clothing worn over the front of the torso and/or legs for protection from spills; also historically worn by Freemasons and as part of women's fashion.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/apron.mp3
arise,/əˈɹaɪz/,,To come up from a lower to a higher position.,to arise from a kneeling posture,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arise.mp3
arm,/ɑɹm/,,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.",She stood with her right arm extended and her palm forward to indicate “Stop!”,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arm.mp3
armful,/ˈɑːmfʊl/,,The amount an arm or arms can hold.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/armful.mp3
army,/ˈɑɹ.mi/,,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations.",The army was sent in to quell the uprising.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/army.mp3
arose,/əˈɹoʊz/,,To come up from a lower to a higher position.,to arise from a kneeling posture,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arose.mp3
around,/əˈɹaʊnd/,,"(with the verb ""to be"") Present in the vicinity.",Is Clare around today?,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/around.mp3
arrange,/əˈɹeɪndʒ/,,To set up; to organize; to put into an orderly sequence or arrangement.,,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arrange.mp3
arrive,/əˈɹaɪv/,,To reach; to get to a certain place.,He arrived home for two days.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arrive.mp3
arrived,/əˈɹaɪvd/,,To reach; to get to a certain place.,He arrived home for two days.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/arrived.mp3
art,/ɑɹt/,,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.",There is a debate as to whether graffiti is art or vandalism.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/art.mp3
artist,/ˈɑɹ.tɪst/,,A person who creates art.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/artist.mp3
as,,,To such an extent or degree; to the same extent or degree.,"It's not as well made, but it's twice as expensive.",basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/as.mp3
ashes,/ˈæʃ.əz/,,The solid remains of a fire.,Ash from a fireplace can restore minerals to your garden's soil.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ashes.mp3
aside,/əˈsaɪd/,,An incidental remark made quietly so as to be heard by the person to whom it is said and not by any others in the vicinity.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aside.mp3
ask,/eəsk/,,An act or instance of asking.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ask.mp3
asleep,/əˈsliːp/,,"In a state of sleep; also, broadly, resting.",I was asleep when you called.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/asleep.mp3
at,,,"To reply to or talk to someone, either online or face-to-face. (from the practice of targeting a message or reply to someone online by writing @name)",Cars 2 is the most influential film of all time. Don't @ me.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/at.mp3
ate,/eɪt/,,To ingest; to be ingested.,,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ate.mp3
attack,/əˈtæk/,,"An attempt to cause damage, injury to, or death of opponent or enemy.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/attack.mp3
attend,/əˈtɛnd/,,To listen to (something or someone); to pay attention to; regard; heed.,,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/attend.mp3
attention,/əˈtɛn.ʃən/,,Mental focus.,Please direct your attention to the following words.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/attention.mp3
august,/ɔːˈɡʌst/,,"Awe-inspiring, majestic, noble, venerable.",an august patron of the arts,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/august.mp3
aunt,/eɪnt/,,The sister or sister-in-law of one’s parent.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aunt.mp3
author,/ˈɔ.θɚ/,,"The originator or creator of a work, especially of a literary composition.",Have you read any Corinthian authors?,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/author.mp3
automobile,/ˈɔ.tə.moʊˌbil/,,"A type of vehicle designed to move on the ground under its own stored power and intended to carry a driver, a small number of additional passengers, and a very limited amount of other load. A car or motorcar.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/automobile.mp3
autumn,/ˈɔtəm/,,"Traditionally the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/autumn.mp3
avenue,/ˈæv.əˌn(j)u/,,"A broad street, especially one bordered by trees.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/avenue.mp3
awake,/əˈweɪk/,,Not asleep; conscious.,,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/awake.mp3
away,/əˈweɪ/,,To depart; to go to another place.,At 9 o'clock sharp he awayed to bed.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/away.mp3
awful,/ˈɔfəl/,,Very bad.,My socks smell awful.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/awful.mp3
awfully,/ˈɔːfli/,,"Badly, terribly.","She led after the swiming and cycling, but ran awfully and came in fourth.",basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/awfully.mp3
awhile,/əˈhwaɪl/,,For some time; for a short time.,Sit with me awhile.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/awhile.mp3
ax,/æks/,,"A tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ax.mp3
axe,/æks/,,"A tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/axe.mp3
baa,[bæ],,The characteristic cry or bleating of a sheep.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/baa.mp3
babe,/beɪb/,,A baby or infant; a very young human or animal.,These events came to pass when he was but a babe.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/babe.mp3
back,/bæk/,,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly.",Could you please scratch my back?,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/back.mp3
background,/ˈbæk.ɡɹaʊnd/,,"One's social heritage, or previous life; what one did in the past.",The lawyer had a background in computer science.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/background.mp3
backward,/ˈbæk.wə(ɹ)d/,,The state behind or past.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/backward.mp3
bacon,/ˈbeɪ.kən/,,"Cured meat from the sides, belly or back of a pig.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bacon.mp3
bad,/beəd/,,"Error, mistake.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bad.mp3
badge,/bædʒ/,,"A distinctive mark, token, sign, emblem or cognizance, worn on one's clothing, as an insignia of some rank, or of the membership of an organization.",the badge of a society; the badge of a policeman,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/badge.mp3
badly,/ˈbæd.li/,,"Ill, unwell.",He's never badly.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/badly.mp3
bag,/ˈbeɪɡ/,,"A flexible container made of cloth, paper, plastic, etc.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bag.mp3
bake,/beɪk/,,The act of cooking food by baking.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bake.mp3
baker,/ˈbeɪ.kɚ/,,"A person who bakes and sells bread, cakes and similar items.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/baker.mp3
bakery,/ˈbeɪ.kə.ɹi/,,A shop in which bread (and often other baked goods such as cakes) is baked and/or sold.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bakery.mp3
ball,/bɔːl/,,"A solid or hollow sphere, or roughly spherical mass.",a ball of spittle; a fecal ball,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ball.mp3
balloon,/bəˈlun/,,"An inflatable buoyant object, often (but not necessarily) round and flexible.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/balloon.mp3
banana,/bəˈnænə/,,An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/banana.mp3
band,/bænd/,,A strip of material used for strengthening or coupling.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/band.mp3
bang,/bæŋ(ɡ)/,,A sudden percussive noise.,"When he struck it with a hammer, there was a loud bang.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bang.mp3
banjo,/ˈbæn.dʒoʊ/,,"A stringed musical instrument (chordophone), usually with a round body, a membrane-like soundboard and a fretted neck, played by plucking or strumming the strings.",I come from Alabama with my banjo on my knee...,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/banjo.mp3
bank,/bæŋk/,,An institution where one can place and borrow money and take care of financial affairs.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bank.mp3
banker,/ˈbæŋkə(ɹ)/,,"One who conducts the business of banking; one who, individually, or as a member of a company, keeps an establishment for the deposit or loan of money, or for traffic in money, bills of exchange, etc.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/banker.mp3
bar,/bɑɹ/,,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.",The window was protected by steel bars.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bar.mp3
barber,/ˈbɑɹ.bɚ/,,A person whose profession is cutting (usually male) customers' hair and beards.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/barber.mp3
bare,/bɛəɹ/,,"(‘the bare’) The surface, the (bare) skin.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/bare.mp3
